id,event_datetime,username,event_description
155,2024-03-16 01:57:11,user31,вышел
156,2024-03-16 02:02:52,admin,авторизован с правами
157,2024-03-16 02:03:51,admin,вышел
158,2024-03-16 02:03:54,1,заблокированный пользователь пытается зайти
159,2024-03-16 02:03:55,1,заблокированный пользователь пытается зайти
160,2024-03-16 02:03:55,1,заблокированный пользователь пытается зайти
161,2024-03-16 02:03:55,1,заблокированный пользователь пытается зайти
162,2024-03-16 02:03:56,1,заблокированный пользователь пытается зайти
163,2024-03-16 02:03:56,1,заблокированный пользователь пытается зайти
164,2024-03-16 02:06:13,1,заблокирован
165,2024-03-16 02:06:21,admin,авторизован с правами
166,2024-03-16 02:06:25,1,заблокирован
167,2024-03-16 02:06:31,user19,авторизован
168,2024-03-16 02:06:35,user19,неверный пароль
169,2024-03-16 02:06:37,user19,неверный пароль
170,2024-03-16 02:06:40,user19,заблокирован
171,2024-03-16 02:06:43,user19,заблокирован
172,2024-03-16 02:06:44,user19,заблокирован
173,2024-03-16 02:06:48,1,заблокирован
174,2024-03-16 02:06:50,user19,заблокирован
175,2024-03-16 02:08:49,1,заблокирован
176,2024-03-16 02:08:54,admin,авторизован с правами
177,2024-03-16 02:08:59,1,заблокирован
178,2024-03-16 02:09:01,admin,авторизован с правами
179,2024-03-16 02:09:02,admin,вышел
180,2024-03-16 02:09:07,1,заблокирован
181,2024-03-16 02:09:12,user20,заблокирован
182,2024-03-16 02:09:16,88,авторизован
183,2024-03-16 02:09:17,88,вышел
184,2024-03-16 02:09:24,admin,авторизован с правами
185,2024-03-16 02:09:49,admin,вышел
186,2024-03-16 02:09:53,qwerty,авторизован
187,2024-03-16 02:09:54,qwerty,вышел
188,2024-03-16 02:09:58,qwerty,авторизован
189,2024-03-16 02:09:59,qwerty,вышел
190,2024-03-16 02:10:03,qwerty,авторизован
191,2024-03-16 02:10:04,qwerty,вышел
192,2024-03-16 02:15:42,qwerty,авторизован
193,2024-03-16 02:15:43,qwerty,вышел
194,2024-03-16 02:15:46,admin,авторизован с правами
195,2024-03-16 02:15:47,admin,вышел
196,2024-03-16 02:15:51,1,заблокирован
197,2024-03-16 02:16:03,qwerty,авторизован
198,2024-03-16 02:16:04,qwerty,вышел
199,2024-03-16 02:20:08,qwerty,заблокированный пользователь пытается зайти
200,2024-03-16 02:20:08,qwerty,заблокирован
201,2024-03-16 02:20:12,admin,авторизован с правами
202,2024-03-16 02:20:13,admin,вышел
203,2024-03-16 02:20:20,88,неверный пароль
204,2024-03-16 02:20:25,1,заблокированный пользователь пытается зайти
205,2024-03-16 02:20:25,1,заблокирован
206,2024-03-16 02:20:41,admin,авторизован с правами
207,2024-03-16 02:20:43,admin,вышел
208,2024-03-16 02:20:46,1,заблокированный пользователь пытается зайти
209,2024-03-16 02:20:46,1,заблокирован
210,2024-03-16 02:20:47,admin,авторизован с правами
211,2024-03-16 02:20:48,admin,вышел
212,2024-03-16 02:20:52,1,заблокированный пользователь пытается зайти
213,2024-03-16 02:20:52,1,заблокирован
214,2024-03-16 02:20:54,1,заблокированный пользователь пытается зайти
215,2024-03-16 02:20:54,1,заблокирован
216,2024-03-16 02:20:56,1,заблокированный пользователь пытается зайти
217,2024-03-16 02:20:56,1,заблокирован
218,2024-03-16 02:25:06,1,заблокированный пользователь пытается зайти
219,2024-03-16 02:25:06,1,заблокирован
220,2024-03-16 02:25:11,admin,неверный пароль
221,2024-03-16 02:25:14,1,заблокированный пользователь пытается зайти
222,2024-03-16 02:25:14,1,заблокирован
223,2024-03-16 02:26:59,1,заблокированный пользователь пытается зайти
224,2024-03-16 02:26:59,1,заблокирован
225,2024-03-16 02:26:59,1,пользователь заблокирован на 30 секунд
226,2024-03-16 02:27:02,admin,авторизован с правами
227,2024-03-16 02:27:03,admin,вышел
228,2024-03-16 02:27:06,1,заблокированный пользователь пытается зайти
229,2024-03-16 02:27:06,1,заблокирован
230,2024-03-16 02:27:06,1,пользователь заблокирован на 30 секунд
231,2024-03-16 02:32:04,1,заблокированный пользователь пытается зайти
232,2024-03-16 02:32:04,1,авторизован
233,2024-03-16 02:32:06,1,вышел
234,2024-03-16 02:32:14,qwerty,заблокированный пользователь пытается зайти
235,2024-03-16 02:32:14,qwerty,авторизован
236,2024-03-16 02:32:15,qwerty,вышел
237,2024-03-16 02:32:18,qwerty,неверный пароль
238,2024-03-16 02:32:20,qwerty,неверный пароль
239,2024-03-16 02:32:22,qwerty,неверный пароль
240,2024-03-16 02:32:24,qwerty,авторизован
241,2024-03-16 02:32:25,qwerty,вышел
242,2024-03-16 02:33:39,qwerty,неверный пароль
243,2024-03-16 02:33:41,qwerty,неверный пароль
244,2024-03-16 02:33:43,qwerty,неверный пароль
245,2024-03-16 02:33:44,qwerty,неверный пароль
246,2024-03-16 02:33:45,qwerty,неверный пароль
247,2024-03-16 02:33:47,qwerty,авторизован
248,2024-03-16 02:33:48,qwerty,вышел
249,2024-03-16 02:36:02,admin,авторизован с правами
250,2024-03-16 02:36:03,admin,вышел
251,2024-03-16 02:36:10,admin111,неверный пароль
252,2024-03-16 02:36:15,admin,неверный пароль
253,2024-03-16 02:37:21,admin,неверный пароль
254,2024-03-16 02:39:40,admin,неверный пароль
255,2024-03-16 02:39:40,admin,авторизован
256,2024-03-16 02:39:42,admin,вышел
257,2024-03-16 02:40:04,admin,неверный пароль
258,2024-03-16 02:40:13,admin,авторизован с правами
259,2024-03-16 02:40:14,admin,вышел
260,2024-03-16 02:40:18,admin,неверный пароль
261,2024-03-16 02:40:18,admin,заблокирован
262,2024-03-16 02:40:18,admin,пользователь заблокирован на 30 секунд
263,2024-03-16 02:45:08,admin,заблокированный пользователь пытается зайти
264,2024-03-16 02:45:08,admin,авторизован
265,2024-03-16 02:45:14,admin,вышел
266,2024-03-16 02:45:19,admin,авторизован с правами
267,2024-03-16 02:45:21,admin,вышел
268,2024-03-16 02:45:23,admin,авторизован с правами
269,2024-03-16 02:45:24,admin,вышел
270,2024-03-16 02:47:03,admin,неверный пароль
271,2024-03-16 02:47:05,admin,неверный пароль
272,2024-03-16 02:47:06,admin,неверный пароль
273,2024-03-16 02:47:06,admin,заблокирован
274,2024-03-16 02:47:06,admin,пользователь заблокирован на 30 секунд
275,2024-03-16 02:47:09,admin,заблокированный пользователь пытается зайти
276,2024-03-16 02:47:09,admin,заблокирован
277,2024-03-16 02:47:09,admin,пользователь заблокирован на 30 секунд
278,2024-03-16 02:47:11,admin,заблокированный пользователь пытается зайти
279,2024-03-16 02:47:11,admin,заблокирован
280,2024-03-16 02:47:11,admin,пользователь заблокирован на 30 секунд
281,2024-03-16 02:48:12,admin,заблокированный пользователь пытается зайти
282,2024-03-16 02:48:12,admin,авторизован с правами
283,2024-03-16 02:48:16,admin,авторизован с правами
284,2024-03-16 02:49:11,admin,вышел
285,2024-03-16 02:49:14,admin,неверный пароль
